subject_ID,lemma,gender,age,education,grade,error
770,worden,female,16,technical,Gr2,1
863,worden,male,16,technical,Gr2,0
867,worden,female,16,general,Gr2,0
867,worden,female,16,general,Gr2,0
901,worden,female,19,vocational,Gr3,0
905,worden,female,17,general,Gr3,0
1010,worden,male,16,general,Gr2,0
1010,worden,male,16,general,Gr2,0
1011,worden,male,16,general,Gr2,0
1013,worden,male,16,general,Gr2,0
1026,worden,female,15,general,Gr2,0
1035,worden,female,16,general,Gr2,0
1071,worden,female,16,general,Gr2,1
1102,worden,female,15,vocational,Gr2,0
1102,worden,female,15,vocational,Gr2,0
1109,worden,female,18,vocational,Gr3,0
1118,worden,female,18,general,Gr3,0
1118,worden,female,18,general,Gr3,0
1118,worden,female,18,general,Gr3,0
1118,worden,female,18,general,Gr3,1
1119,worden,female,17,technical,Gr3,0
1121,worden,female,17,general,Gr3,0
1125,worden,female,18,vocational,Gr3,0
1125,worden,female,18,vocational,Gr3,0
1125,worden,female,19,vocational,Gr3,0
1125,worden,female,18,vocational,Gr3,0
1138,worden,female,18,technical,Gr3,0
1171,worden,female,17,technical,Gr3,0
1177,worden,female,15,general,Gr2,0
1177,worden,female,15,general,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,17,technical,Gr3,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,0
1189,worden,female,16,technical,Gr2,1
1189,worden,female,16,technical,Gr2,1
1189,worden,female,16,technical,Gr2,1
1193,worden,female,16,general,Gr2,0
1232,worden,female,18,general,Gr3,0
1259,worden,female,18,general,Gr3,0
1259,worden,female,18,general,Gr3,0
1259,worden,female,18,general,Gr3,0
1259,worden,female,17,general,Gr3,0
1259,worden,female,16,general,Gr2,0
1259,worden,female,18,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,18,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1275,worden,male,17,general,Gr3,0
1276,worden,female,16,general,Gr2,0
1280,worden,female,18,general,Gr3,0
1280,worden,female,18,general,Gr3,1
1282,worden,female,18,general,Gr3,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1290,worden,female,16,general,Gr2,0
1299,worden,male,17,technical,Gr3,0
1299,worden,male,16,technical,Gr2,0
1299,worden,male,17,technical,Gr3,0
1299,worden,male,17,technical,Gr3,0
1299,worden,male,16,technical,Gr2,0
1299,worden,male,17,technical,Gr3,0
1299,worden,male,16,technical,Gr2,0
1299,worden,male,16,technical,Gr2,0
1299,worden,male,16,technical,Gr2,0
1299,worden,male,16,technical,Gr2,0
1299,worden,male,17,technical,Gr3,0
1299,worden,male,17,technical,Gr3,1
1300,worden,female,18,general,Gr3,0
1300,worden,female,18,general,Gr3,1
1304,worden,female,17,general,Gr3,0
1305,worden,female,18,general,Gr3,0
1305,worden,female,18,general,Gr3,0
1305,worden,female,16,general,Gr2,0
1305,worden,female,17,general,Gr3,0
1305,worden,female,18,general,Gr3,0
1312,worden,female,18,general,Gr3,0
1312,worden,female,18,general,Gr3,0
1312,worden,female,18,general,Gr3,0
1312,worden,female,18,general,Gr3,0
1312,worden,female,18,general,Gr3,1
1315,worden,female,17,general,Gr3,0
1315,worden,female,17,general,Gr3,0
1315,worden,female,17,general,Gr3,0
1315,worden,female,17,general,Gr3,0
1316,worden,female,17,general,Gr3,0
1316,worden,female,17,general,Gr3,1
1323,worden,male,17,general,Gr3,0
1325,worden,male,17,general,Gr3,0
1326,worden,male,17,general,Gr3,0
1326,worden,male,17,general,Gr3,0
1327,worden,male,15,general,Gr2,0
1327,worden,male,15,general,Gr2,0
1327,worden,male,15,general,Gr2,0
1327,worden,male,17,general,Gr3,0
1327,worden,male,15,general,Gr2,1
1333,worden,male,17,general,Gr3,0
1333,worden,male,18,general,Gr3,0
1333,worden,male,18,general,Gr3,0
1334,worden,female,18,general,Gr3,0
1351,worden,female,15,general,Gr2,0
1351,worden,female,15,general,Gr2,0
1380,worden,female,15,general,Gr2,0
1484,worden,female,20,general,Gr3,0
1485,worden,male,18,general,Gr3,0
1485,worden,male,18,general,Gr3,0
